,,File-Name,Image URL,,,,,,,,,,,,,,,,,
51,Ladies,Daily-Miracle-Skort-Straw,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/800x800/products/3572/13194/Miracle-skort-40-cm-DSP-01828_1080__71188.1578513100.jpg?c=2&imbypass=on,,,,,,,,,,,,,,,,,
52,Ladies,Daily-Leonie-Sense-Skort-Black-Spot-Print,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/800x800/products/3638/13479/Leonie-Sense-Skort-52-cm-DSP-01580_1080__22442.1580344886.jpg?c=2&imbypass=on,,,,,,,,,,,,,,,,,
53,Ladies,Daily-Leonie-Sense-Skort-Black-Spot-Print,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/800x800/products/3638/13479/Leonie-Sense-Skort-52-cm-DSP-01580_1080__22442.1580344886.jpg?c=2&imbypass=on,,,,,,,,,,,,,,,,,
54,Ladies,Daily-Kacie-Wind-Skort-Floral-Print,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/800x800/products/3647/13526/Kacie-Wind-skort-45-cm-DSP-01560_1080__60966.1580397437.jpg?c=2&imbypass=on,,,,,,,,,,,,,,,,Galvin-Green-Mario-Polo-Navy,https://1484339459.rsc.cdn77.org/sites/default/files/pim/MARIO/G797231/MARIO_G797231.jpg
55,Ladies,Daily-Kacie-Wind-Skort-Floral-Print,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/800x800/products/3647/13526/Kacie-Wind-skort-45-cm-DSP-01560_1080__60966.1580397437.jpg?c=2&imbypass=on,,,,,,,,,,,,,,,,,
56,Ladies,Daily-Rickie-SL-Polo-White,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/800x800/products/3689/13666/Rickie-SL-Polo-shirt-DSP-01454_1080__02501.1580763783.jpg?c=2&imbypass=on,,,,,,,,,,,,,,,,,
57,Ladies,Daily-Rickie-SL-Polo-White,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/800x800/products/3689/13666/Rickie-SL-Polo-shirt-DSP-01454_1080__02501.1580763783.jpg?c=2&imbypass=on,,,,,,,,,,,,,,,,Galvin-Green-Mario-Polo-Cool-Grey,https://1484339459.rsc.cdn77.org/sites/default/files/pim/MARIO/G797277/MARIO_G797277.jpg
58,Ladies,Daily-Anna-Sweater-Black,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/800x800/products/3812/14036/Anna-LS-Half-neck-DSP-02189_1080__77834.1583423953.jpg?c=2&imbypass=on,,,,,,,,,,,,,,,,,
59,Ladies,Daily-Anna-Sweater-Black,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/800x800/products/3812/14036/Anna-LS-Half-neck-DSP-02189_1080__77834.1583423953.jpg?c=2&imbypass=on,,,,,,,,,,,,,,,,,
60,Ladies,Dexim-20302-Skirt-Black,https://drive.google.com/open?id=10nm-DifptUdtKex9G_3m-QUP_GWCkNWF,,,,,,,,,,,,,,,,Footjoy-Lisle-Space-Dye-Microstripe-Polo-Deep-Blue,https://www.footjoy.ca/dw/image/v2/AAZW_PRD/on/demandware.static/-/Sites-footjoy-master/default/dw7c084b9c/FJ_26174_04.jpg?sw=1024&sh=1024&sm=fit&sfrm=png
61,Ladies,Dexim-20801-SS-Dress-Black,https://drive.google.com/open?id=17i9u91xvYGvtSW1Ly8m3JZJhnPhHq-ht,,,,,,,,,,,,,,,,,
62,Ladies,Dexim-20801-SS-Dress-Black,https://drive.google.com/open?id=17i9u91xvYGvtSW1Ly8m3JZJhnPhHq-ht,,,,,,,,,,,,,,,,Footjoy-Lisle-Space-Dye-Microstripe-Polo-Ice-Berry-White,https://www.footjoy.ca/dw/image/v2/AAZW_PRD/on/demandware.static/-/Sites-footjoy-master/default/dwabb63464/FJ_26171_04.jpg?sw=1024&sh=1024&sm=fit&sfrm=png
63,Ladies,Dexim-20101-SS-Polo-White,https://drive.google.com/open?id=1CA3MesoK-u-VV6n-R8Nec7-RCe2AMcWm,,,,,,,,,,,,,,,,,
64,Ladies,Dexim-20101-SS-Polo-White,https://drive.google.com/open?id=1CA3MesoK-u-VV6n-R8Nec7-RCe2AMcWm,,,,,,,,,,,,,,,,,
65,Ladies,Lija-Ellis-Polo-1677G2-Grotto-Blue,https://drive.google.com/open?id=1CaajnEFGv_ubxIRK5ZYjnXvBtu-KcTPJ,,,,,,,,,,,,,,,,Footjoy-Lisle-Flower-Print-Polo-Mint,https://www.footjoy.ca/dw/image/v2/AAZW_PRD/on/demandware.static/-/Sites-footjoy-master/default/dwd3bb93f2/FJ_26180_04.jpg?sw=1024&sh=1024&sm=fit&sfrm=png
66,Ladies,Lija-Ellis-Polo-1677G2-Grotto-Blue,https://drive.google.com/open?id=1CaajnEFGv_ubxIRK5ZYjnXvBtu-KcTPJ,,,,,,,,,,,,,,,,,
67,Ladies,Dexim-20331-Knit-Skirt-Black,https://drive.google.com/open?id=1eDy281Nx64KdmHvWxMQ3D0VpJe06s1UP,,,,,,,,,,,,,,,,,
68,Ladies,Dexim-20331-Knit-Skirt-Black,https://drive.google.com/open?id=1eDy281Nx64KdmHvWxMQ3D0VpJe06s1UP,,,,,,,,,,,,,,,,,
69,Ladies,Lija-Cos-Polo-1682G2-White,https://drive.google.com/open?id=1Fv1NJUhH8S9CRemKj6_LMbqOKMGFoyHd,,,,,,,,,,,,,,,,Footjoy-Double-Block-Birdseye-Polo-NAVY---WHITE---BLUE-FOG,https://www.footjoy.ca/dw/image/v2/AAZW_PRD/on/demandware.static/-/Sites-footjoy-master/default/dw7ea9d072/FJ_26284_01.jpg?sw=1024&sh=1024&sm=fit&sfrm=png
70,Ladies,Lija-Cos-Polo-1682G2-White,https://drive.google.com/open?id=1Fv1NJUhH8S9CRemKj6_LMbqOKMGFoyHd,,,,,,,,,,,,,,,,,
71,Ladies,Dexim-20101-SS-Polo-Navy,https://drive.google.com/open?id=1gC-uDGwOmGt8xcz3UaelP9wLLBY8I2ds,,,,,,,,,,,,,,,,,
72,Ladies,Dexim-20101-SS-Polo-Navy,https://drive.google.com/open?id=1gC-uDGwOmGt8xcz3UaelP9wLLBY8I2ds,,,,,,,,,,,,,,,,,
73,Ladies,Dexim-20807-SS-Dress-Navy,https://drive.google.com/open?id=1gjYJyqVTcFUxinn85eV2vHohu43E7Q39,,,,,,,,,,,,,,,,Footjoy-Birdseye-Argyle-Print-Polo-BLUE-FOG---WHITE---NAVY,https://www.footjoy.ca/dw/image/v2/AAZW_PRD/on/demandware.static/-/Sites-footjoy-master/default/dw3323a657/FJ_26290_04.jpg?sw=1024&sh=1024&sm=fit&sfrm=png
74,Ladies,Dexim-20807-SS-Dress-Navy,https://drive.google.com/open?id=1gjYJyqVTcFUxinn85eV2vHohu43E7Q39,,,,,,,,,,,,,,,,,
75,Ladies,Dexim-20301-Skirt-Navy,https://drive.google.com/open?id=1H4Piy5snZcT8k0nICwBJm6pphP7mQA5D,,,,,,,,,,,,,,,,,
76,Ladies,Dexim-20301-Skirt-Navy,https://drive.google.com/open?id=1H4Piy5snZcT8k0nICwBJm6pphP7mQA5D,,,,,,,,,,,,,,,,,
77,Ladies,Dexim-20201-SL-Polo-White,https://drive.google.com/open?id=1h54G8egTiaL-WYh_kq3eUj4-GXbP_LiM,,,,,,,,,,,,,,,,Footjoy-JacqUnderArmourrd-Top-Color-Block-Polo-BLUE-FOG,https://www.footjoy.ca/dw/image/v2/AAZW_PRD/on/demandware.static/-/Sites-footjoy-master/default/dw44fd470e/FJ_26297_04.jpg?sw=1024&sh=1024&sm=fit&sfrm=png
